row_id,deberta_prob
0,0.5456386
1,0.45224118
2,0.9525338
3,0.8720294
5,0.45244047
6,0.97747964
7,0.4357334
8,0.9772883
9,0.44444463
10,0.45213163
11,0.9409347
12,0.43981886
13,0.7319478
14,0.43394244
15,0.9591332
16,0.9774669
17,0.4316107
18,0.43088427
19,0.92343336
20,0.44435337
21,0.9642987
22,0.44514328
25,0.45874935
27,0.9821041
28,0.44151118
29,0.9718901
30,0.44249588
32,0.85751116
33,0.43861383
34,0.95576924
36,0.4566299
37,0.95918995
38,0.4344705
39,0.9657819
40,0.94381404
42,0.44240576
43,0.95166075
44,0.757555
45,0.97385776
47,0.96328217
49,0.98269975
50,0.45439565
51,0.9821212
52,0.9790238
53,0.45302948
54,0.9734517
55,0.98162043
56,0.43421432
57,0.9807421
58,0.9796538
60,0.4546111
62,0.44111001
64,0.44954678
65,0.9784348
66,0.43160412
67,0.9755703
68,0.4558974
69,0.9725867
70,0.45890197
71,0.9826345
72,0.44333842
73,0.97638047
74,0.45281217
76,0.6893666
77,0.92746073
78,0.44399688
79,0.975047
82,0.97832936
83,0.45552564
84,0.96413165
85,0.446998
86,0.82739615
87,0.97990227
89,0.9769121
90,0.47493622
91,0.9728775
92,0.44399562
93,0.9760645
94,0.455267
95,0.9502434
96,0.9651814
97,0.9837961
98,0.9730551
99,0.4442346
100,0.9786324
101,0.42916897
102,0.98276466
104,0.43874666
105,0.9818123
107,0.97365236
108,0.44466516
109,0.45138004
110,0.9773375
111,0.9797891
112,0.4436857
113,0.9833574
114,0.43514448
115,0.9419542
118,0.9812251
120,0.9647468
121,0.94441444
122,0.9838396
124,0.95052344
125,0.4881418
129,0.97981894
131,0.97466856
133,0.9816902
134,0.4365902
135,0.97974867
136,0.44452468
137,0.44820505
138,0.97781223
139,0.98096436
141,0.97356004
142,0.44897595
144,0.9618055
146,0.43234104
147,0.9777018
148,0.7206583
149,0.4326762
150,0.9753796
152,0.9790506
153,0.453095
154,0.9783117
155,0.45795715
156,0.9812076
158,0.9765062
160,0.44072884
161,0.49502993
162,0.9568696
163,0.9726136
165,0.4533753
166,0.443457
168,0.97875893
169,0.97920495
170,0.44634598
171,0.97693455
172,0.45307937
173,0.44363233
175,0.9818559
176,0.9830798
177,0.97684765
178,0.967884
179,0.9777394
180,0.97900575
181,0.45880657
182,0.97047687
183,0.43773693
184,0.43595383
185,0.44981807
186,0.44078994
187,0.948995
188,0.43359825
189,0.45052332
190,0.9841659
191,0.44626674
193,0.46775478
194,0.9826215
195,0.98192275
197,0.4689722
198,0.9735073
199,0.89148897
200,0.9839107
201,0.45213503
202,0.45703167
203,0.43304288
204,0.9819146
205,0.4711871
206,0.9781506
209,0.44679964
210,0.4643044
212,0.94107026
213,0.5437675
214,0.44009522
215,0.97803986
216,0.9790636
217,0.45649296
218,0.44336125
219,0.9800152
220,0.9789682
221,0.96430415
222,0.9213401
223,0.45697653
224,0.46448123
225,0.96458125
226,0.97321993
227,0.9824891
228,0.9755058
229,0.46762505
231,0.9813276
232,0.49655166
233,0.4572411
234,0.9833123
236,0.4499123
237,0.9786789
238,0.9420839
239,0.9699683
240,0.4549862
241,0.9812152
243,0.9810543
244,0.97669387
246,0.9834435
247,0.9762082
248,0.9340308
249,0.44323823
250,0.98249626
252,0.9759536
253,0.97570395
254,0.9809879
255,0.966072
256,0.98342264
257,0.9831822
260,0.9755452
261,0.43878073
262,0.9650118
263,0.98224616
264,0.44961816
265,0.98102576
266,0.98272055
267,0.9809224
268,0.44426903
269,0.9556819
270,0.4529271
272,0.45129055
273,0.45614168
274,0.47359756
275,0.95565647
276,0.98156744
277,0.9771145
279,0.4488067
280,0.9789444
281,0.45354342
282,0.46186838
283,0.9805002
284,0.98248047
285,0.44120586
286,0.4403664
287,0.51175535
290,0.9778921
291,0.97281736
292,0.97205484
293,0.5802642
294,0.9781019
295,0.4348517
296,0.979018
297,0.97183007
298,0.96684843
299,0.98085207
300,0.46872833
301,0.49485686
302,0.493633
303,0.76155967
305,0.9711845
306,0.7797931
308,0.8605305
309,0.97650576
311,0.9014474
312,0.93596375
313,0.7026236
314,0.6071906
316,0.47596496
317,0.45763367
318,0.6119541
319,0.48127577
321,0.8598982
322,0.92136073
323,0.47699344
324,0.44660017
325,0.48659566
326,0.46946234
327,0.44959873
328,0.5065746
329,0.48405588
330,0.56802756
331,0.46464655
332,0.4401715
333,0.573429
334,0.4702455
336,0.93323016
338,0.60336775
339,0.94938195
341,0.9729144
343,0.97746587
344,0.97836375
345,0.9605115
347,0.9794169
348,0.98056364
349,0.9796735
350,0.8681688
351,0.9425716
352,0.9822004
353,0.9770761
355,0.97625345
357,0.93597555
358,0.9704973
359,0.92917275
360,0.9489174
361,0.97899354
362,0.9740104
363,0.97807693
364,0.9676464
365,0.9806788
366,0.9652555
369,0.9704735
371,0.9755598
372,0.962558
375,0.98046136
376,0.97972244
378,0.9761019
379,0.95511687
380,0.9821416
381,0.96929115
382,0.9759997
384,0.97887933
386,0.47735503
387,0.5570459
388,0.64322853
389,0.44927183
390,0.4580516
391,0.48861858
392,0.4516301
393,0.47616264
396,0.47100785
397,0.475158
398,0.46574312
399,0.46224618
401,0.4734856
402,0.486175
404,0.46293032
405,0.47638166
406,0.47859004
407,0.47660613
408,0.92075306
410,0.9781757
411,0.4363588
412,0.979031
413,0.4391097
414,0.9817209
415,0.44257388
416,0.97380847
417,0.45940077
418,0.9818287
419,0.47122115
420,0.9710104
421,0.4394828
422,0.98173034
423,0.45056415
424,0.97643864
425,0.4333172
426,0.91047645
427,0.45414066
428,0.9780266
429,0.44428897
430,0.9331515
431,0.4493085
432,0.9422632
433,0.45026758
434,0.97854096
438,0.94569033
440,0.97514206
442,0.9793026
445,0.43495262
447,0.44145143
448,0.9784775
449,0.43676054
450,0.9799448
451,0.51746696
452,0.9778861
