row_id,label,deberta_prob,tfidf_xgb_prob,weighted_vote_prob,meta_prob
0,1,0.5456386,0.49651977,0.525991068,0.2820281645451832
1,0,0.45224118,0.006045883,0.2737630612,0.038919692211045485
2,1,0.9525338,0.98718345,0.96639366,0.9839694769002115
3,1,0.8720294,0.9711798,0.9116895599999999,0.9663133971747421
5,0,0.45244047,0.0006744585,0.2717340654,0.038397530756277956
6,1,0.97747964,0.99500966,0.9844916480000001,0.9873985814177181
7,0,0.4357334,0.008996204,0.26503852159999997,0.03408579583496007
8,1,0.9772883,0.73856604,0.8817993959999999,0.9735176394268147
9,0,0.44444463,0.00082234637,0.266995716548,0.035879600564087656
10,0,0.45213163,0.012491787,0.27627569280000003,0.039598968268108735
11,1,0.9409347,0.98152816,0.957172084,0.9819719458993905
12,0,0.43981886,0.00517086,0.26595966,0.03491683655683617
13,1,0.7319478,0.9387727,0.8146777600000001,0.8828069471243881
14,0,0.43394244,0.013495908,0.26576382719999997,0.033999475006654435
15,1,0.9591332,0.9965334,0.9740932800000001,0.9852714471573111
16,1,0.9774669,0.9916551,0.9831421800000001,0.9872736616392807
17,0,0.4316107,0.007993127,0.26216367079999997,0.032809055300632314
18,0,0.43088427,0.0078008533,0.26165090332,0.032587487406927435
19,1,0.92343336,0.6803711,0.826208456,0.9505325129286478
20,0,0.44435337,0.0042782086,0.26832330544,0.03620504936811764
21,1,0.9642987,0.63006675,0.83060592,0.9596821439784109
22,0,0.44514328,0.008765239,0.27059206359999993,0.036917065554106655
25,0,0.45874935,0.08760964,0.31029346599999996,0.05172543298251291
27,1,0.9821041,0.6249812,0.83925494,0.9648605417701519
28,0,0.44151118,0.004202661,0.2665877724,0.03532857317695048
29,1,0.9718901,0.85278136,0.924246604,0.9800213351510779
30,0,0.44249588,0.009410283,0.26926164119999996,0.036157879080716444
32,1,0.85751116,0.9515906,0.8951429360000001,0.9596902045257963
33,0,0.43861383,0.008765239,0.26667439359999995,0.034913560590637584
34,1,0.95576924,0.22112629,0.6619120599999999,0.8687583838405518
36,0,0.4566299,0.012665361,0.27904408439999995,0.041163671043389895
37,1,0.95918995,0.89634204,0.9340507859999999,0.9803263598338087
38,0,0.4344705,0.0018873869,0.26143725475999996,0.03304373179491592
39,1,0.9657819,0.29405874,0.6970926359999999,0.899667520232385
40,1,0.94381404,0.9753474,0.956427384,0.9821011164396055
42,0,0.44240576,0.0012341277,0.26593710707999996,0.03530092011974625
43,1,0.95166075,0.6793238,0.84272597,0.9609406055178062
44,1,0.757555,0.84981656,0.794459624,0.8791411599147998
45,1,0.97385776,0.9991049,0.983956616,0.9871467139457868
47,1,0.96328217,0.9115572,0.942592182,0.9818306390685961
49,1,0.98269975,0.9773818,0.98057257,0.9873282533121367
50,0,0.45439565,0.14114513,0.32909544199999996,0.05788640239675454
51,1,0.9821212,0.9983425,0.98860972,0.9880171187692386
52,1,0.9790238,0.9845723,0.9812432,0.9871847028500621
53,0,0.45302948,0.006045883,0.2742360412,0.039181901389777826
54,1,0.9734517,0.9487036,0.96355246,0.9850680387749586
55,1,0.98162043,0.1238796,0.638524098,0.8620965449984244
56,0,0.43421432,0.06306571,0.285754876,0.03922429382294907
57,1,0.9807421,0.99959725,0.98828416,0.9879157139373447
58,1,0.9796538,0.98364186,0.981249024,0.9872206388785855
60,0,0.4546111,0.01127474,0.277276556,0.04030446938695234
62,0,0.44111001,0.008765239,0.2681721016,0.03566680899798742
64,0,0.44954678,0.0043983646,0.27148741383999997,0.037859010200780314
65,1,0.9784348,0.043506853,0.6044636212,0.827485205185842
66,0,0.43160412,0.030957526,0.2713454824,0.03502202678251099
67,1,0.9755703,0.8050362,0.9073566599999999,0.9777940490218793
68,0,0.4558974,0.0038933705,0.27509578819999997,0.03990665546756887
69,1,0.9725867,0.29449078,0.701348332,0.9050917299516502
70,0,0.45890197,0.03340667,0.28870385,0.044491338087811826
71,1,0.9826345,0.97028863,0.977696152,0.9870568709978219
72,0,0.44333842,0.008765239,0.2695091476,0.03635245735766185
73,1,0.97638047,0.44803357,0.76504171,0.9393962038562531
74,0,0.45281217,0.0009179242,0.27205447168,0.038545928104176085
76,1,0.6893666,0.81841785,0.7409871,0.7837145307699727
77,1,0.92746073,0.989296,0.9521948379999999,0.9801805762176953
78,0,0.44399688,0.34396175,0.40398282799999996,0.09240661396896507
79,1,0.975047,0.96358114,0.970460656,0.9858968874736349
82,1,0.97832936,0.24559027,0.685233724,0.8967879923404595
83,0,0.45552564,0.012433963,0.2782889692,0.040752427548456684
84,1,0.96413165,0.99685246,0.977219974,0.9859138198179191
85,0,0.446998,0.002378857,0.2691503428,0.036833058847828594
86,1,0.82739615,0.15017864,0.556509146,0.6325604742228441
87,1,0.97990227,0.8573532,0.9308826419999999,0.9816100767071038
89,1,0.9769121,0.44165948,0.762811052,0.9385909656398983
90,0,0.47493622,0.038634576,0.3004155624,0.05168945776644413
91,1,0.9728775,0.122538134,0.6327417536,0.8521250568561133
92,0,0.44399562,0.03306281,0.27962249599999994,0.039162295366187067
93,1,0.9760645,0.9967186,0.98432614,0.9873047751034438
94,0,0.455267,0.08368457,0.30663402799999995,0.049683614970951445
95,1,0.9502434,0.82890916,0.901709704,0.9741873567996092
96,1,0.9651814,0.9981553,0.9783709599999999,0.9860951627056715
97,1,0.9837961,0.98282444,0.983407436,0.9876463395929864
98,1,0.9730551,0.98791575,0.97899936,0.9866283487489795
99,0,0.4442346,0.016042314,0.2729576856,0.03739551574061447
100,1,0.9786324,0.9599792,0.97117112,0.9861882925619508
101,0,0.42916897,0.059779536,0.2814131964,0.0372248618944584
102,1,0.98276466,0.99502134,0.987667332,0.9879687659094055
104,0,0.43874666,0.036821906,0.27797675839999997,0.03784966835067863
105,1,0.9818123,0.8550396,0.93110322,0.9817918320487271
107,1,0.97365236,0.16105352,0.648612824,0.8666488730520745
108,0,0.44466516,0.00069465564,0.26707695825600003,0.03593425369033772
109,0,0.45138004,0.0066247466,0.27347792264,0.038698539573455794
110,1,0.9773375,0.41367012,0.751870548,0.9338984347107754
111,1,0.9797891,0.9916306,0.9845257000000001,0.987528819646838
112,0,0.4436857,0.009902962,0.2701726048,0.03657832442011748
113,1,0.9833574,0.8560911,0.93245088,0.9820895999903123
114,0,0.43514448,0.008779578,0.2645985192,0.03389345137771052
115,1,0.9419542,0.27179694,0.673891296,0.8717784144867275
118,1,0.9812251,0.48912653,0.784385672,0.9480844836599818
