row_id,tfidf_xgb_prob
0,0.49651977
1,0.006045883
2,0.98718345
3,0.9711798
5,0.0006744585
6,0.99500966
7,0.008996204
8,0.73856604
9,0.00082234637
10,0.012491787
11,0.98152816
12,0.00517086
13,0.9387727
14,0.013495908
15,0.9965334
16,0.9916551
17,0.007993127
18,0.0078008533
19,0.6803711
20,0.0042782086
21,0.63006675
22,0.008765239
25,0.08760964
27,0.6249812
28,0.004202661
29,0.85278136
30,0.009410283
32,0.9515906
33,0.008765239
34,0.22112629
36,0.012665361
37,0.89634204
38,0.0018873869
39,0.29405874
40,0.9753474
42,0.0012341277
43,0.6793238
44,0.84981656
45,0.9991049
47,0.9115572
49,0.9773818
50,0.14114513
51,0.9983425
52,0.9845723
53,0.006045883
54,0.9487036
55,0.1238796
56,0.06306571
57,0.99959725
58,0.98364186
60,0.01127474
62,0.008765239
64,0.0043983646
65,0.043506853
66,0.030957526
67,0.8050362
68,0.0038933705
69,0.29449078
70,0.03340667
71,0.97028863
72,0.008765239
73,0.44803357
74,0.0009179242
76,0.81841785
77,0.989296
78,0.34396175
79,0.96358114
82,0.24559027
83,0.012433963
84,0.99685246
85,0.002378857
86,0.15017864
87,0.8573532
89,0.44165948
90,0.038634576
91,0.122538134
92,0.03306281
93,0.9967186
94,0.08368457
95,0.82890916
96,0.9981553
97,0.98282444
98,0.98791575
99,0.016042314
100,0.9599792
101,0.059779536
102,0.99502134
104,0.036821906
105,0.8550396
107,0.16105352
108,0.00069465564
109,0.0066247466
110,0.41367012
111,0.9916306
112,0.009902962
113,0.8560911
114,0.008779578
115,0.27179694
118,0.48912653
120,0.59806544
121,0.9652848
122,0.9940719
124,0.82512593
125,0.50280076
129,0.9956976
131,0.15037355
133,0.8573125
134,0.0046165786
135,0.9912634
136,0.00446852
137,0.08125822
138,0.9985902
139,0.8042905
141,0.8269804
142,0.21921277
144,0.9942252
146,0.024649506
147,0.9891155
148,0.28907365
149,0.043506853
150,0.9956743
152,0.95035964
153,0.0045086476
154,0.9961255
155,0.36053333
156,0.9900427
158,0.7595258
160,0.0028119108
161,0.06674544
162,0.9127504
163,0.89754796
165,0.02203269
166,0.0030447156
168,0.729351
169,0.4216099
170,0.6441264
171,0.99742377
172,0.006207993
173,0.0018086211
175,0.9911323
176,0.9432112
177,0.9987656
178,0.9871515
179,0.9787239
180,0.9796952
181,0.083501786
182,0.9961557
183,0.002254375
184,0.0008551995
185,0.008961741
186,0.012930499
187,0.97355294
188,0.0006950993
189,0.012917073
190,0.023260286
191,0.012641568
193,0.15247445
194,0.99894756
195,0.99800855
197,0.008937824
198,0.9828672
199,0.5346292
200,0.9970861
201,0.006045883
202,0.6158459
203,0.0055329786
204,0.30285755
205,0.1285578
206,0.6740504
209,0.0016230119
210,0.0010296725
212,0.9091452
213,0.09646888
214,0.010344576
215,0.9166609
216,0.95196444
217,0.028096916
218,0.011953516
219,0.8933464
220,0.98430854
221,0.9822688
222,0.99068296
223,0.5025031
224,0.2929758
225,0.87202823
226,0.016364042
227,0.9739171
228,0.8708662
229,0.08752219
231,0.9916904
232,0.077779606
233,0.00432469
234,0.979645
236,0.0039767153
237,0.97450364
238,0.07533677
239,0.987515
240,0.018781982
241,0.9798069
243,0.34616402
244,0.94913125
246,0.203581
247,0.988669
248,0.02346321
249,0.0006396284
250,0.9528044
252,0.96306753
253,0.98843735
254,0.8981577
255,0.010288068
256,0.089999005
257,0.95606726
260,0.8676413
261,0.010309234
262,0.98810565
263,0.2560521
264,0.19717653
265,0.9983688
266,0.040733833
267,0.7142953
268,0.107429914
269,0.98011714
270,0.047008883
272,0.012138818
273,0.12220524
274,0.018613948
275,0.42437983
276,0.881463
277,0.9736205
279,0.02182219
280,0.9798182
281,0.006404267
282,0.774523
283,0.66019416
284,0.95601827
285,0.0057117455
286,0.0035402605
